input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_271.c	lean	0	0.18	0.17	105156	MATCH
sa_csmith_272.c	oracle	0	1.86	1.85	118528	MATCH
sa_csmith_272.c	lean	0	5.41	5.40	132408	MATCH
sa_csmith_273.c	oracle	0	0.04	0.03	48168	MATCH
sa_csmith_273.c	lean	0	0.07	0.06	83308	MATCH
sa_csmith_274.c	oracle	0	0.04	0.04	48484	MATCH
sa_csmith_274.c	lean	0	0.07	0.06	84448	MATCH
sa_csmith_275.c	oracle	124	15.05	15.04	662368	CERB_SKIP
sa_csmith_275.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_276.c	oracle	124	15.05	15.04	654408	CERB_SKIP
sa_csmith_276.c	lean	NA	NA	NA	NA	CERB_SKIP
